DEBUG [main] 2018-12-21 16:51:13.400  org.dbunit.dataset.OrderedTableNameMap  - getTableName(tableName=role) - start
DEBUG [main] 2018-12-21 16:51:13.400  org.dbunit.dataset.OrderedTableNameMap  - getTableName(tableName=role) - end - result=ROLE
DEBUG [main] 2018-12-21 16:51:13.400  org.dbunit.dataset.OrderedTableNameMap  - isLastTable(tableName=role) - start
DEBUG [main] 2018-12-21 16:51:13.400  org.dbunit.dataset.OrderedTableNameMap  - getLastTableName() - start
DEBUG [main] 2018-12-21 16:51:13.400  org.dbunit.dataset.OrderedTableNameMap  - getTableName(tableName=role) - start
DEBUG [main] 2018-12-21 16:51:13.400  org.dbunit.dataset.OrderedTableNameMap  - getTableName(tableName=role) - end - result=ROLE
DEBUG [main] 2018-12-21 16:51:13.400  org.dbunit.dataset.OrderedTableNameMap  - getTableName(tableName=role) - start
DEBUG [main] 2018-12-21 16:51:13.401  org.dbunit.dataset.OrderedTableNameMap  - getTableName(tableName=role) - end - result=ROLE
DEBUG [main] 2018-12-21 16:51:13.401  org.dbunit.dataset.OrderedTableNameMap  - getLastTableName() - start
DEBUG [main] 2018-12-21 16:51:13.401  org.dbunit.dataset.OrderedTableNameMap  - getTableName(tableName=role) - start
DEBUG [main] 2018-12-21 16:51:13.401  org.dbunit.dataset.OrderedTableNameMap  - getTableName(tableName=role) - end - result=ROLE
DEBUG [main] 2018-12-21 16:51:13.401  org.dbunit.dataset.AbstractTableMetaData  - getColumnIndex(columnName=id) - start
DEBUG [main] 2018-12-21 16:51:13.401  org.dbunit.dataset.AbstractTableMetaData  - getColumnIndex(columnName=name) - start
DEBUG [main] 2018-12-21 16:51:13.401  org.dbunit.dataset.OrderedTableNameMap  - getLastTableName() - start
DEBUG [main] 2018-12-21 16:51:13.401  org.dbunit.dataset.OrderedTableNameMap  - getTableName(tableName=role) - start
DEBUG [main] 2018-12-21 16:51:13.401  org.dbunit.dataset.OrderedTableNameMap  - getTableName(tableName=role) - end - result=ROLE
DEBUG [main] 2018-12-21 16:51:13.401  org.dbunit.dataset.CachedDataSet  - row(values=2) - start
DEBUG [main] 2018-12-21 16:51:13.401  org.dbunit.dataset.DefaultTable  - addRow(values=2) - start
DEBUG [main] 2018-12-21 16:51:13.401  org.dbunit.dataset.xml.FlatXmlProducer  - endElement(uri=, localName=, qName=role) - start
DEBUG [main] 2018-12-21 16:51:13.401  org.dbunit.dataset.xml.FlatXmlProducer  - startElement(uri=, localName=, qName=role, attributes=com.sun.org.apache.xerces.internal.parsers.AbstractSAXParser$AttributesProxy@233c0b17) - start
DEBUG [main] 2018-12-21 16:51:13.401  org.dbunit.dataset.OrderedTableNameMap  - getLastTableName() - start
DEBUG [main] 2018-12-21 16:51:13.401  org.dbunit.dataset.OrderedTableNameMap  - getTableName(tableName=role) - start
DEBUG [main] 2018-12-21 16:51:13.401  org.dbunit.dataset.OrderedTableNameMap  - getTableName(tableName=role) - end - result=ROLE
DEBUG [main] 2018-12-21 16:51:13.401  org.dbunit.dataset.OrderedTableNameMap  - isLastTable(tableName=role) - start
DEBUG [main] 2018-12-21 16:51:13.401  org.dbunit.dataset.OrderedTableNameMap  - getLastTableName() - start
DEBUG [main] 2018-12-21 16:51:13.401  org.dbunit.dataset.OrderedTableNameMap  - getTableName(tableName=role) - start
DEBUG [main] 2018-12-21 16:51:13.402  org.dbunit.dataset.OrderedTableNameMap  - getTableName(tableName=role) - end - result=ROLE
DEBUG [main] 2018-12-21 16:51:13.402  org.dbunit.dataset.OrderedTableNameMap  - getTableName(tableName=role) - start
DEBUG [main] 2018-12-21 16:51:13.402  org.dbunit.dataset.OrderedTableNameMap  - getTableName(tableName=role) - end - result=ROLE
DEBUG [main] 2018-12-21 16:51:13.402  org.dbunit.dataset.OrderedTableNameMap  - getLastTableName() - start
DEBUG [main] 2018-12-21 16:51:13.402  org.dbunit.dataset.OrderedTableNameMap  - getTableName(tableName=role) - start
DEBUG [main] 2018-12-21 16:51:13.402  org.dbunit.dataset.OrderedTableNameMap  - getTableName(tableName=role) - end - result=ROLE
DEBUG [main] 2018-12-21 16:51:13.402  org.dbunit.dataset.AbstractTableMetaData  - getColumnIndex(columnName=id) - start
DEBUG [main] 2018-12-21 16:51:13.402  org.dbunit.dataset.AbstractTableMetaData  - getColumnIndex(columnName=name) - start
DEBUG [main] 2018-12-21 16:51:13.402  org.dbunit.dataset.OrderedTableNameMap  - getLastTableName() - start
DEBUG [main] 2018-12-21 16:51:13.402  org.dbunit.dataset.OrderedTableNameMap  - getTableName(tableName=role) - start
DEBUG [main] 2018-12-21 16:51:13.402  org.dbunit.dataset.OrderedTableNameMap  - getTableName(tableName=role) - end - result=ROLE
DEBUG [main] 2018-12-21 16:51:13.403  org.dbunit.dataset.CachedDataSet  - row(values=3) - start
DEBUG [main] 2018-12-21 16:51:13.403  org.dbunit.dataset.DefaultTable  - addRow(values=3) - start
DEBUG [main] 2018-12-21 16:51:13.403  org.dbunit.dataset.xml.FlatXmlProducer  - endElement(uri=, localName=, qName=role) - start
DEBUG [main] 2018-12-21 16:51:13.403  org.dbunit.dataset.xml.FlatXmlProducer  - startElement(uri=, localName=, qName=user, attributes=com.sun.org.apache.xerces.internal.parsers.AbstractSAXParser$AttributesProxy@233c0b17) - start
DEBUG [main] 2018-12-21 16:51:13.403  org.dbunit.dataset.OrderedTableNameMap  - getLastTableName() - start
DEBUG [main] 2018-12-21 16:51:13.404  org.dbunit.dataset.OrderedTableNameMap  - getTableName(tableName=role) - start
DEBUG [main] 2018-12-21 16:51:13.404  org.dbunit.dataset.OrderedTableNameMap  - getTableName(tableName=role) - end - result=ROLE
DEBUG [main] 2018-12-21 16:51:13.404  org.dbunit.dataset.OrderedTableNameMap  - isLastTable(tableName=user) - start
DEBUG [main] 2018-12-21 16:51:13.404  org.dbunit.dataset.OrderedTableNameMap  - getLastTableName() - start
DEBUG [main] 2018-12-21 16:51:13.404  org.dbunit.dataset.OrderedTableNameMap  - getTableName(tableName=role) - start
DEBUG [main] 2018-12-21 16:51:13.404  org.dbunit.dataset.OrderedTableNameMap  - getTableName(tableName=role) - end - result=ROLE
DEBUG [main] 2018-12-21 16:51:13.404  org.dbunit.dataset.OrderedTableNameMap  - getTableName(tableName=user) - start
DEBUG [main] 2018-12-21 16:51:13.404  org.dbunit.dataset.OrderedTableNameMap  - getTableName(tableName=user) - end - result=USER
DEBUG [main] 2018-12-21 16:51:13.404  org.dbunit.dataset.CachedDataSet  - endTable() - start
DEBUG [main] 2018-12-21 16:51:13.404  org.dbunit.dataset.OrderedTableNameMap  - getTableName(tableName=role) - start
DEBUG [main] 2018-12-21 16:51:13.404  org.dbunit.dataset.OrderedTableNameMap  - getTableName(tableName=role) - end - result=ROLE
DEBUG [main] 2018-12-21 16:51:13.404  org.dbunit.dataset.OrderedTableNameMap  - add(tableName=role, object=org.dbunit.dataset.DefaultTable[_metaData=tableName=role, columns=[(id, UNKNOWN, nullableUnknown), (name, UNKNOWN, nullableUnknown)], keys=[], _rowList.size()=3]) - start
DEBUG [main] 2018-12-21 16:51:13.404  org.dbunit.dataset.OrderedTableNameMap  - getTableName(tableName=role) - start
DEBUG [main] 2018-12-21 16:51:13.404  org.dbunit.dataset.OrderedTableNameMap  - getTableName(tableName=role) - end - result=ROLE
DEBUG [main] 2018-12-21 16:51:13.404  org.dbunit.dataset.OrderedTableNameMap  - getTableName(tableName=ROLE) - start
DEBUG [main] 2018-12-21 16:51:13.404  org.dbunit.dataset.OrderedTableNameMap  - getTableName(tableName=ROLE) - end - result=ROLE
DEBUG [main] 2018-12-21 16:51:13.405  org.dbunit.dataset.OrderedTableNameMap  - getTableName(tableName=user) - start
DEBUG [main] 2018-12-21 16:51:13.405  org.dbunit.dataset.OrderedTableNameMap  - getTableName(tableName=user) - end - result=USER
DEBUG [main] 2018-12-21 16:51:13.405  org.dbunit.dataset.xml.FlatXmlProducer  - createTableMetaData(tableName=user, attributes=com.sun.org.apache.xerces.internal.parsers.AbstractSAXParser$AttributesProxy@233c0b17) - start
